canonical_key,store_key,price_toman,condition,recorded_at
other_sy03,digikala,9240000,نو,2026-08-31 10:30:00
other_armor_a75_usb,digikala,17600000,نو,2026-08-31 10:30:00
other_zz_audio_bowie,digikala,6753110,نو,2026-08-31 10:30:00
samsung_galaxy_a11,digikala,13775000,نو,2026-08-31 10:30:00
other_128gb_one_pro_128,digikala,27000000,نو,2026-08-31 10:30:00
lenovo_256gb_15_v15_g5,digikala,141000000,نو,2026-08-31 10:30:00
apple_macbook_air_2026_512gb,digikala,356990000,نو,2026-08-31 10:30:00
asus_512gb_nuc13anhh7_core_i7,digikala,171000000,نو,2026-08-31 10:30:00
other_store_go_usb,digikala,21000000,نو,2026-08-31 10:30:00
other_1tb_pcie_gen4_x4,digikala,23500000,نو,2026-08-31 10:30:00
other_6tb_purple_wd64purz,digikala,64820000,نو,2026-08-31 10:30:00
xiaomi_redmi_15c_128gb,digikala,47100000,نو,2026-08-31 10:30:00
hp_512gb,digikala,311000000,نو,2026-08-31 10:30:00
samsung_galaxy,digikala,4070000,نو,2026-08-31 10:30:00
other_256gb_pcie_gen4_x4,digikala,11907160,نو,2026-08-31 10:30:00
other_1tb_rp60_usb_gen2,digikala,23840000,نو,2026-08-31 10:30:00
other_5tb_armor_a85,digikala,56350000,نو,2026-08-31 10:30:00
other_02_hk_11,digikala,5500000,نو,2026-08-31 10:30:00
other_43_watch_fit,digikala,24700000,نو,2026-08-31 10:30:00
other_gaming_voice_5184,digikala,10800000,نو,2026-08-31 10:30:00
asus_prime_h610m_ps,digikala,19500000,نو,2026-08-31 10:30:00
intel_core_i5_14400f,digikala,33799000,نو,2026-08-31 10:30:00
lenovo_ideapad__custom_512gb,digikala,146000000,نو,2026-08-31 10:30:00
asus_vivobook_15_custom_1tb,digikala,119000000,نو,2026-08-31 10:30:00
asus_tuf_gaming_custom_ram32gb_2tb,digikala,357000000,نو,2026-08-31 10:30:00
lenovo_ideapad__512gb,digikala,104000000,نو,2026-08-31 10:30:00
lenovo_512gb_14_thinkbook_14,digikala,268900000,نو,2026-08-31 10:30:00
samsung_32gb_ddr4_sodimm_3200,digikala,6000000,نو,2026-08-31 10:30:00
intel_256gb_j1900_2lc_celeron,digikala,36500000,نو,2026-08-31 10:30:00
asus_rog_strix_custom_ram64gb_4tb,digikala,560000000,نو,2026-08-31 10:30:00
other_32gb_106_2023_32,digikala,2099000,نو,2026-08-31 10:30:00
asus_tuf_gaming_custom_1tb,digikala,235000000,نو,2026-08-31 10:30:00
asus_rtx_4050_32gb,digikala,268900000,نو,2026-08-31 10:30:00
hp_512gb_16_omnibook_16by0015dx,digikala,149990000,نو,2026-08-31 10:30:00
xiaomi_xiaomi,digikala,3800000,نو,2026-08-31 10:30:00
other_ser_gaming_shrak,digikala,7332000,نو,2026-08-31 10:30:00
lenovo_x4_bone_conduction,digikala,14000000,نو,2026-08-31 10:30:00
asus_256gb_15_expertbook_p1,digikala,109990000,نو,2026-08-31 10:30:00
other_apy_multi_soundtec,digikala,7658000,نو,2026-08-31 10:30:00
asus_vivobook_15_custom_32gb,digikala,150000000,نو,2026-08-31 10:30:00
asus_rog_strix_custom_ram32gb_32gb,digikala,461000000,نو,2026-08-31 10:30:00
