canonical_key,store_key,n_obs,min_price,avg_price,max_price,first_seen,last_seen
amd_1tb_15_aspire_go,digikala,44,159850000,159850000,159850000,2026-08-31 10:30:00,2026-09-06 17:35:04
amd_1tb_15_aspire_lite,digikala,113,133990000,141981150,148990000,2026-09-01 09:44:31,2026-09-06 17:35:04
amd_2tb_15_aspire_lite,digikala,113,154990000,162928053,169990000,2026-09-01 09:44:31,2026-09-06 17:35:04
amd_32gb_15_aspire_go,digikala,89,138890000,143946180,148890000,2026-08-31 10:30:00,2026-09-06 17:35:04
amd_32gb_15_aspire_lite,digikala,121,114000000,132395372,138990000,2026-08-31 10:30:00,2026-09-06 17:35:04
amd_32gb_corsair_vengeance_32gb,torob,12,113000000,113000000,113000000,2026-08-31 10:30:07,2026-09-01 12:23:51
amd_32gb_r7_7800x3d_ryzen,torob,12,1025990000,1034243333,1066770000,2026-08-31 10:30:07,2026-09-01 12:23:51
amd_32gb_rs_2070_x99,digikala,44,80000000,80909091,88000000,2026-08-31 10:30:00,2026-09-06 17:35:04
amd_32gb_rs_2080_x99,digikala,45,89000000,89888889,97000000,2026-08-31 10:30:00,2026-09-06 17:35:04
amd_32gb_rs_2120_x99,digikala,44,99000000,100022727,108000000,2026-08-31 10:30:00,2026-09-06 17:35:04
amd_32gb_ryzen_9950x3d2_16,torob,12,199000000,199000000,199000000,2026-08-31 10:30:07,2026-09-01 12:23:51
amd_32gb_vengeance_rgb_amd,torob,12,111500000,112491667,113200000,2026-08-31 10:30:07,2026-09-01 12:23:51
amd_5700_rx,divar,22,45000000,45000000,45000000,2026-09-03 13:42:17,2026-09-07 18:36:46
amd_64gb_radeon_7000_64mb,esam,29,580000,580000,580000,2026-08-31 10:30:06,2026-09-03 14:52:02
amd_64gb_xfx_radeon_rx,divar,34,23000000,23000000,23000000,2026-09-02 10:27:56,2026-09-07 18:36:46
amd_64gb_xfx_rx_vega,divar,12,25900000,25900000,25900000,2026-09-06 06:40:23,2026-09-07 18:36:46
amd_7700x_tray,digikala,43,52700000,52700000,52700000,2026-08-31 10:30:00,2026-09-06 17:35:04
amd_am3,digikala,45,1800000,1874667,1920000,2026-08-31 10:30:00,2026-09-06 17:35:04
amd_am5_ryzen_7600x,divar,45,44000000,44000000,44000000,2026-09-01 09:44:35,2026-09-07 15:36:36
amd_amd,divar,18,19500000,30750000,42000000,2026-09-06 17:54:44,2026-09-07 18:36:46
amd_amd_nitro,digikala,34,232000000,290352941,310000000,2026-09-02 09:42:10,2026-09-06 17:35:04
